username,content,timestamp
cyrille8574,je suis tout a fait da ##cc ##ord je trouve ca de ##bil ##e de ne plus mettre le num ##ero de la chaine,2025-06-17T11:46:39.071395
le_chouffleur,ben ces ##t la mas ##cot ##te ces ##t sur mais bon ja ##tte ##nds de voir pour me faire une ide ##e,2025-06-17T11:46:41.849479
fricasseedefevesaubellota,maintenant il demande a changer la constitution histoire det ##re au dessus des lois,2025-06-17T11:46:42.669122
drakeoz_,ah ##ah ##ah,2025-06-17T11:46:43.640240
theoriginalpimousse_,ca va etre compli ##que pour la bas ##cule pd ##t le tour de france not ##li ##ket ##his lu ##l,2025-06-17T11:46:45.999039
myxprtz,alors quo ##n sait que tu es le cerveau de tout en sous marin,2025-06-17T11:46:49.776770
sugarfr0g,allons y se ##em ##s ##go ##od,2025-06-17T11:46:52.911833
usukapion,le patron officieux comme le fut mus ##k k ##app ##a,2025-06-17T11:46:53.792134
khorne59,ils ont voulu tout reg ##rou ##per sous le meme nom et mettre en valeur la plate ##for ##me de vo ##d unique france ##t ##v comme tf,2025-06-17T11:46:55.561810
runcyterr,allons ##y casquette a la foire au chapeau,2025-06-17T11:46:58.167997
scotty_cool,rachet ##e france tv pour nous donner la rep ##onse,2025-06-17T11:47:00.259726
allihh66,lez ##go ##oo ##o,2025-06-17T11:47:01.205909
kelyaann,a partir du moment ou on en mange malheureusement la ce nes ##t pas une corrid ##a non plus,2025-06-17T11:47:02.588143
sdfljsgrljfslk,ces ##t plus facile d,2025-06-17T11:47:02.810961
lupa_612,ze parti,2025-06-17T11:47:03.420554
saberan31,du genre etre lourd avec les candidat ##es femmes il y a quelques annee ##s dans tout le monde veut prendre sa place ou humili ##er ses eq ##ui ##pes en direct sur nou ##blie ##z pas les paroles,2025-06-17T11:47:04.713194
le_chouffleur,des ##ole v,2025-06-17T11:47:07.544371
imreplaayz,on retrouve ou ton it ##ner ##vie ##w avec ni ##col ##a st ##p,2025-06-17T11:47:12.065749
scotty_cool,ces ##t vrai,2025-06-17T11:47:18.605345
prof_intern,la ministre de la culture voudrait le sc ##al ##p de la patronne de france tv da ##pres le canard ench ##aine un avis,2025-06-17T11:47:18.967642
sugarfr0g,sauf petit ##ion bien sur k ##app ##a,2025-06-17T11:47:20.831107
t0welie_42o,trop co ##ol je pensais avoir loup ##e le sommaire sam ##uel ##ec ##oe ##ur,2025-06-17T11:47:21.417741
kuraiine_,sam ##uel le grand mani ##to ##u de la tel ##ev ##ision franc ##aise,2025-06-17T11:47:24.680020
biuemoon___,tu es la partie invisible de lice ##berg sam ##uel sam ##uel ##ed ##ark,2025-06-17T11:47:27.699197
sugarfr0g,lu ##l,2025-06-17T11:47:29.710417
tinkou__,il y a un truc que le rn ne veut pas priv ##atis ##er,2025-06-17T11:47:29.751294
diixon9,parce que ces ##t notre pro ##oo ##oo ##jet,2025-06-17T11:47:29.786685
otr_stream,lu ##l,2025-06-17T11:47:31.808406
kelyaann,dec ##ide ##ment tu lai ##mes pas,2025-06-17T11:47:33.293021
lonisk,sam ##uel ##e ##jour ##nau ##x,2025-06-17T11:47:33.338230
bapthard,lu ##l,2025-06-17T11:47:33.381866
yume_irl,eu ##h ##per ##rier ##wt ##f,2025-06-17T11:47:34.369472
bambi_des_iles,ah ##ah,2025-06-17T11:47:34.481449
alerwann,ces ##t le son ##da ##ge que tu veux lancer,2025-06-17T11:47:34.740839
viegod_,k ##ek ##w,2025-06-17T11:47:34.962607
sh_le_bel_homme,pt ##dr ##rr ##rr ##rr ##rr ##rr ##rr,2025-06-17T11:47:34.999456
huttopie,non simplement il nes ##t plus consid ##ere comme sal ##arie mais comme un fournisseur,2025-06-17T11:47:35.039636
imreplaayz,on retrouve ou ton it ##ner ##vie ##w avec ni ##col ##a st ##pp,2025-06-17T11:47:35.214730
hortax_fr,en quand tu sera ##s el ##u tu pourra ##s priv ##atis ##er et rachet ##er,2025-06-17T11:47:35.579503
rommytek6,dit leur sam ##um ##u,2025-06-17T11:47:35.610570
earendil2016,sam ##uel ##elo ##l sam ##uel ##elo ##l sam ##uel ##elo ##l sam ##uel ##elo ##l,2025-06-17T11:47:35.885721
stuffdemax,et tu fais que du val ##o,2025-06-17T11:47:35.992351
cmex0_,dea ##l,2025-06-17T11:47:36.033156
mopidie_twitch,sam ##um ##u tu joue quand st ##p,2025-06-17T11:47:36.253384
dr4xla,lu ##l,2025-06-17T11:47:36.288277
gillous985,le rn veut priv ##atis ##er raid ##o france aussi,2025-06-17T11:47:36.427959
operasansfantome,lu ##l,2025-06-17T11:47:36.551972
bertocheeee,lu ##l,2025-06-17T11:47:37.965799
moulbitt,extr ##em ##e gauche de droite centr ##iste important,2025-06-17T11:47:38.560327
leroidlasauce,salut sam ##uel j ai mais je me demande si je rencontrera ##i le vrai amour un jour et si ca arrivera tu penses que je m inquiet ##e trop,2025-06-17T11:47:39.164698
kaintopa,ah ces ##t ca la petit ##ion,2025-06-17T11:47:39.516536
david_ayoun,ce serait possible de remettre les log ##os de chaine france france,2025-06-17T11:47:39.580094
enmuleurdecouche,pas que le rn rach ##ida dat ##i nav ##ait pas dit quelle voulait faire de france tv une hol ##din ##g,2025-06-17T11:47:39.630243
tromatamere,parfait,2025-06-17T11:47:41.518575
jeanperse,tu rig ##oles sam ##uel mais tu es lim ##age de france objec ##tivement,2025-06-17T11:47:41.919215
le_chouffleur,priv ##atis ##er france tel ##ev ##ision mais ils sont c ou quoi,2025-06-17T11:47:42.820874
zapoteque,le plus gros don ##ateurs de per ##icle ##s biens ##ur,2025-06-17T11:47:44.482487
kraydee,ba ##h non ils feront comme en russ ##ie ils vont tint ##erd ##ire,2025-06-17T11:47:45.660711
sinrok972,extr ##em ##e gauche ou me ##ga extr ##em ##e gauche,2025-06-17T11:47:46.348699
n_e_o_______,beau programme,2025-06-17T11:47:46.451799
monsieurdemesmaeker,pas au courant ces ##t quand meme pas flagrant,2025-06-17T11:47:46.831087
operasansfantome,en tre deux tours del ##ection pres ##ident ##ielle,2025-06-17T11:47:48.023620
br_omake,sam ##uel membre des bla ##ck bloc ##ks,2025-06-17T11:47:49.515036
krakz00,pas sur quil ##s te la vendent,2025-06-17T11:47:49.885902
stuffdemax,que tu val ##o h sur h sur ft,2025-06-17T11:47:50.153315
john33fr,ca marcher ##a jamais les ide ##es de gauche ces ##t trop conse ##ns ##uel ca fait pas dau ##dien ##ce dommage,2025-06-17T11:47:53.432627
raphou_35,ah ba ##h ca,2025-06-17T11:47:55.563529
sdfljsgrljfslk,oui d,2025-06-17T11:47:55.687474
quent79_13,lu ##l lu ##l,2025-06-17T11:47:56.786150
kine22,ca va partir sur tw ##itte ##r not ##li ##ket ##his,2025-06-17T11:47:57.832894
pierro_fps,bon ##jour,2025-06-17T11:48:01.853597
fmbj_,se ##em ##s ##go ##od je suis da ##cc ##ord,2025-06-17T11:48:04.542823
rommytek6,ces ##t un truc de fou not ##li ##ket ##his,2025-06-17T11:48:09.184398
monsieurdemesmaeker,vive radio france,2025-06-17T11:48:10.603842
malakaud,ils veulent priv ##atis ##er car ils ont dej ##a leurs medi ##as de propagande,2025-06-17T11:48:11.769468
otr_stream,len ##fer si ca arrive,2025-06-17T11:48:11.875483
balduur_,bon ##jour,2025-06-17T11:48:12.206541
sinrok972,ils ont pas assez avec cn ##e ##ws k ##app ##a,2025-06-17T11:48:13.269201
genki_lol,mais ces ##t leg ##al ca meme ou est la neutral ##ite,2025-06-17T11:48:13.633125
coinslotjam,a tu vu lh ##istoire du domin ##os pi ##zz ##za du pent ##agon,2025-06-17T11:48:14.738708
