username,content,timestamp
theoriginalpimousse_,Ca va être compliqué pour la bascule pdt le tour de France NotLikeThis LUL,2025-06-17T11:46:45.999039
myxprtz,Alors qu'on sait que tu es le cerveau de tout en sous marin,2025-06-17T11:46:49.776770
sugarfr0g,allons y SeemsGood,2025-06-17T11:46:52.911833
usukapion,le patron officieux comme le fut musk Kappa,2025-06-17T11:46:53.792134
khorne59,Ils ont voulu tout regrouper sous le même nom et mettre en valeur la plateforme de vod unique francetv comme tf1+,2025-06-17T11:46:55.561810
runcyterr,Allons-y casquette a la foire au chapeau !,2025-06-17T11:46:58.167997
scotty_cool,Rachete France TV pour nous donner la réponse,2025-06-17T11:47:00.259726
allihh66,Lezgoooo,2025-06-17T11:47:01.205909
kelyaann,@saberan31 @saberan31 à partir du moment où on en mange malheureusement... là ce n'est pas une corrida non plus,2025-06-17T11:47:02.588143
sdfljsgrljfslk,@FricasseeDeFevesAuBellota c'est plus facile :D,2025-06-17T11:47:02.810961
lupa_612,Zé parti,2025-06-17T11:47:03.420554
saberan31,@monsieurdemesmaeker Du genre être lourd avec les candidates femmes il y a quelques années dans Tout le monde veut prendre sa place ou humilier ses équipes en direct sur N'oubliez pas les paroles,2025-06-17T11:47:04.713194
le_chouffleur,@TheOriginalPimousse_ Désolé ! >v<',2025-06-17T11:47:07.544371
imreplaayz,@samueletienne on retrouve ou ton itnerview avec nicola stp,2025-06-17T11:47:12.065749
scotty_cool,C'est vrai,2025-06-17T11:47:18.605345
prof_intern,"La ministre de la culture voudrait ""le scalp"" de la patronne de France TV d'après le canard enchaîné, un avis ?",2025-06-17T11:47:18.967642
sugarfr0g,sauf pétition bien sûr Kappa,2025-06-17T11:47:20.831107
t0welie_42o,Trop cool je pensais avoir loupé le sommaire samueleCoeur,2025-06-17T11:47:21.417741
kuraiine_,Samuel le grand manitou de la télévision française,2025-06-17T11:47:24.680020
biuemoon___,tu es la partie invisible de l'iceberg Samuel samueleDark,2025-06-17T11:47:27.699197
sugarfr0g,LUL,2025-06-17T11:47:29.710417
tinkou__,Il y a un truc que le RN ne veut pas privatiser?,2025-06-17T11:47:29.751294
diixon9,parce que c'est notre prooooojet,2025-06-17T11:47:29.786685
otr_stream,LUL,2025-06-17T11:47:31.808406
kelyaann,@saberan31 décidément tu l'aimes pas,2025-06-17T11:47:33.293021
lonisk,samueleJournaux,2025-06-17T11:47:33.338230
bapthard,LUL,2025-06-17T11:47:33.381866
yume_irl,euhPerrierwtf,2025-06-17T11:47:34.369472
bambi_des_iles,ahah,2025-06-17T11:47:34.481449
alerwann,c'est le sondage que tu veux lancer?,2025-06-17T11:47:34.740839
viegod_,KEKW,2025-06-17T11:47:34.962607
sh_le_bel_homme,ptdrrrrrrrrrrrrr,2025-06-17T11:47:34.999456
huttopie,"@peperedudu non, simplement il n'est plus considéré comme salarié, mais comme un fournisseur",2025-06-17T11:47:35.039636
imreplaayz,@samueletienne on retrouve ou ton itnerview avec nicola stpp,2025-06-17T11:47:35.214730
hortax_fr,"En 2027, quand tu seras élu, tu pourras privatiser et racheter",2025-06-17T11:47:35.579503
rommytek6,Dit leur samumu,2025-06-17T11:47:35.610570
earendil2016,samueleLoL samueleLoL samueleLoL samueleLoL,2025-06-17T11:47:35.885721
stuffdemax,et tu fais que du valo,2025-06-17T11:47:35.992351
cmex0_,Deal,2025-06-17T11:47:36.033156
mopidie_twitch,samumu tu joue quand stp,2025-06-17T11:47:36.253384
dr4xla,LUL,2025-06-17T11:47:36.288277
gillous985,le RN veut privatiser raido france aussi,2025-06-17T11:47:36.427959
operasansfantome,LUL,2025-06-17T11:47:36.551972
bertocheeee,LUL,2025-06-17T11:47:37.965799
moulbitt,"Extrême gauche, de droite centriste important",2025-06-17T11:47:38.560327
leroidlasauce,"salut Samuel j ai 23 mais je me demande si je rencontrerai le vrai amour un jour et si ca arrivera, tu penses que je m inquiete trop ?",2025-06-17T11:47:39.164698
kaintopa,Ah c'est ça la pétition !,2025-06-17T11:47:39.516536
david_ayoun,Ce serait possible de remettre les logos de chaîne France 2 France 3 ?,2025-06-17T11:47:39.580094
enmuleurdecouche,"pas que le RN, rachida dati n'avait pas dit qu'elle voulait faire de france TV une holding?",2025-06-17T11:47:39.630243
tromatamere,parfait,2025-06-17T11:47:41.518575
jeanperse,"Tu rigoles Samuel, mais tu es l'image de France 3. Objectivement.",2025-06-17T11:47:41.919215
le_chouffleur,privatiser France Télévision ??? Mais ils sont c*** ou quoi ?,2025-06-17T11:47:42.820874
zapoteque,Le plus gros donateurs de Périclès bien-sûr,2025-06-17T11:47:44.482487
kraydee,"bah non ils feront comme en russie, ils vont t'interdire",2025-06-17T11:47:45.660711
sinrok972,Extrème gauche ou méga extrème gauche ?,2025-06-17T11:47:46.348699
n_e_o_______,beau programme !,2025-06-17T11:47:46.451799
monsieurdemesmaeker,@saberan31 pas au courant. C'est quand même pas flagrant,2025-06-17T11:47:46.831087
operasansfantome,en tre deux tours d'élection présidentielle,2025-06-17T11:47:48.023620
br_omake,Samuel membre des black blocks @samueletienne,2025-06-17T11:47:49.515036
krakz00,pas sur qu'ils te la vendent,2025-06-17T11:47:49.885902
stuffdemax,Que tu valo 24H sur 24H sur FT,2025-06-17T11:47:50.153315
john33fr,"ça marchera jamais, les idées de gauche c'est trop consensuel, ça fait pas d'audience, dommage",2025-06-17T11:47:53.432627
raphou_35,@le_chouffleur Ah bah ça,2025-06-17T11:47:55.563529
sdfljsgrljfslk,@le_chouffleur oui :D,2025-06-17T11:47:55.687474
quent79_13,LUL LUL,2025-06-17T11:47:56.786150
kine22,ça va partir sur twitter NotLikeThis,2025-06-17T11:47:57.832894
pierro_fps,Bonjour,2025-06-17T11:48:01.853597
fmbj_,@JeanPerse SeemsGood  je suis d'accord,2025-06-17T11:48:04.542823
rommytek6,C'est un truc de fou NotLikeThis,2025-06-17T11:48:09.184398
monsieurdemesmaeker,Vive Radio France,2025-06-17T11:48:10.603842
malakaud,ils veulent privatiser car ils ont déjà leurs médias de propagande,2025-06-17T11:48:11.769468
otr_stream,L'enfer si ça arrive,2025-06-17T11:48:11.875483
balduur_,Bonjour,2025-06-17T11:48:12.206541
sinrok972,Ils ont pas assez avec CNEWS ? Kappa,2025-06-17T11:48:13.269201
genki_lol,mais c’est légal ça même ? ou est la neutralité,2025-06-17T11:48:13.633125
coinslotjam,@samueletienne A tu vu l'histoire du dominos pizzza du pentagon ?,2025-06-17T11:48:14.738708
nightbot,"MA SEMAINE SUR TWITCH, le BEST-OF n°47 est arrivé ! Il est ici : https://www.youtube.com/watch?v=5NL2xQYnXo4",2025-06-17T11:48:17.076682
saberan31,@kelyaann Normal vu ce que je décris non ?,2025-06-17T11:48:17.403608
bertocheeee,250 M ça suffit pas a racheter France tv c'est juste le salaire annuel de Nagui ça,2025-06-17T11:48:17.606633
moulbitt,Du coup on paiera plus de redevance ? Kappa,2025-06-17T11:48:18.358254
tutor_hcz,XTREEEMMM,2025-06-17T11:48:18.717291
forzekeykey,C’est pas grave si c’est privé de gauche ou extrème gauche au moins c’est pas financé par nos impôts :) c’est ça le vrai problème que nos impôts financent une chaîne / radio qui a un gros parti pris,2025-06-17T11:48:22.012305
rydars,youpi :(,2025-06-17T11:48:23.403929
xonoss,Une part de vérité quand meme samuel mdr,2025-06-17T11:48:23.904704
myxprtz,"La chaîne twitch de sam accessible sur la 2 ,3 et 4 samueleJournaux",2025-06-17T11:48:25.299019
8528lucky13,La chaine qui parlerai que tu président (Samuel Etienne) en bien,2025-06-17T11:48:25.507888
cyrille8574,@le_chouffleur en fait j'aime bien Nagui mais son intégrisme végétarien/défenseur des animaux me saoule (et je suis contre le fait de faire du mal aux animaux comme dans les corridas),2025-06-17T11:48:28.464286
runcyterr,La fin du monde la fin du monde !,2025-06-17T11:48:29.237595
le_chouffleur,Hello le raid ! ^^,2025-06-17T11:48:30.054972
biuemoon___,"@leroidlasauce tqt pas ! ça viendra, ça arrivera quand tu t'y attendras le moins, cours pas trop après tu vas perdre espoir, concentre toi sur un projet etc et ça te tombera dessus tu verras samueleLove",2025-06-17T11:48:33.623379
lestudiogeek,Coucou ici :),2025-06-17T11:48:33.728275
theoriginalpimousse_,Sur les quoi ?,2025-06-17T11:48:33.919711
rommytek6,@sinrok972 il en on jamais assez NotLikeThis,2025-06-17T11:48:33.999706
lart_des_choix,pas la meilleure des transitions,2025-06-17T11:48:35.804348
earendil2016,coucou @LeStudioGeek et les raiders,2025-06-17T11:48:39.612605
docdaneeka22,"Bonne idée, privatiser un service public ça n'a jamais été un désastre dans l'histoire de l'humanité ! mdr",2025-06-17T11:48:50.443328
bristolte,On l'appelera LFI La France Informée,2025-06-17T11:48:52.074320
moulbitt,Il a pas compris mon kappa NotLikeThis NotLikeThis adieu les amis,2025-06-17T11:49:04.107362
cyrille8574,@Earendil2016 les raiders ? deux doigts coupent faim ? Kappa,2025-06-17T11:49:06.377356
tutor_hcz,@bristolte pas mal,2025-06-17T11:49:10.382648
bapthard,"@le_chouffleur Oui, les chaines publiques sont parmi les dernières a être plutôt centre-gauche alors que toutes les chaines privées vont du centre à l'extrême-droite. Spoiler : c'est pour continuer leur désinformation",2025-06-17T11:49:11.352661
sinrok972,ouai mais ils sont couvert par Starlink l'Iran donc tout va bien...,2025-06-17T11:49:13.673199
prof_intern,@forzekeykey France TV est d'extrême centre comme le gouvernement,2025-06-17T11:49:14.136329
lupa_612,@moulbitt adieu monde cruel,2025-06-17T11:49:14.300045
sugarfr0g,@moulbitt c’est honteux en tant que modo Kappa,2025-06-17T11:49:20.738070
theoriginalpimousse_,@Moulbitt o7,2025-06-17T11:49:21.056125
earendil2016,@Cyrille8574 les même,2025-06-17T11:49:21.198666
saberan31,@monsieurdemesmaeker Désolé mais je regardais beaucoup Tout le monde veut prendre sa place y'a 10 ans et si c'était flagrant... Il s'est calmé là-dessus heureusement mais bon ça me dérange quand même,2025-06-17T11:49:22.075959
meanterrrrrrr,question un peut bete mais Le monde est il un journal orienté vers un certain parti politique ou est il neutre ?,2025-06-17T11:49:26.468241
magicodinotte,tu penses qu’un milliardaire va racheter une chaîne pour faire de lexteme gauche ??,2025-06-17T11:49:26.549767
cyrille8574,LUL @Moulbitt,2025-06-17T11:49:28.412535
earendil2016,@Moulbitt o7,2025-06-17T11:49:36.408191
alfacto77,"@samueletienne Bonjour Samuel ! J'aurais une requête à te soumettre : Serait-il possible de mettre dans la description des vidéos Youtube de rediffusion des RDP, les gros titres / sujets traitées dans celles-ci svp ? Merci pour ta réponse",2025-06-17T11:49:46.441004
tutor_hcz,@magicodinotte il faut déjà un milliardaire d'extrême gauche,2025-06-17T11:49:47.406791
ptitejaja,"D'ailleur Samumu, hier tu disais que l'Iran avait annoncé vouloir ""détruire Israel"", mais un éminent du régime Iranien sur thinkerview disait qu'aucun responsable Iranien n'avait tenu des tels propos et qu'ils n'avaient pas de véléhités béliqueuses avec Israel... Tu en penses quoi ? :)",2025-06-17T11:49:48.230317
saberan31,@Meanterrrrrrr Assez neutre,2025-06-17T11:49:53.330155
payetabiere_,@Bapthard tf1 extreme droite ?,2025-06-17T11:50:00.176604
monsieurdemesmaeker,@saberan31 je te crois. Mais j'ai pas vu d'extraits,2025-06-17T11:50:02.290590
bloodyboulga,À quel moment les Sunites vont se sentir plus solidaires qu'antiChiites.,2025-06-17T11:50:03.138134
le_chouffleur,"@Cyrille8574 Oui je comprends. Moi-même j'ai un peu de mal avec Nagui et sa manie de toujours faire la morale aux gens dans ses émissions... De toute manière, on verra si le public suit ou non. :/",2025-06-17T11:50:09.293186
runcyterr,Je vois plus comment tout ça peu bien finir ...,2025-06-17T11:50:14.958978
smhashhh,ils fuit le pays,2025-06-17T11:50:20.700728
bapthard,"@payetabiere_ Non, centre je dirais, peut-être centre-droite",2025-06-17T11:50:21.075727
chiengpt,@ptitejaja thinkerview= pincette à minima,2025-06-17T11:50:26.875916
huttopie,@BloodyBoulga quand les chiites ne mèneront plus d'actions contre les sunnites?,2025-06-17T11:50:30.115363
sinrok972,@magicodinotte ça dépend du milliardaire. Pas l'Indien en tous cas il a avalé une abeille le pauvre,2025-06-17T11:50:32.057894
prof_intern,@bapthard y'a quoi de centre gauche sur l'audiovisuelle publiques ?,2025-06-17T11:50:38.454950
cyrille8574,@le_chouffleur on est d'accord alors :),2025-06-17T11:50:46.616474
lebylkus92,"Samuel, j'ai l'impression que sur les chaines d'information FR on nous indique que c'est la panique en IRAN et sur les RS c'est une autre histoire",2025-06-17T11:51:00.273373
aoreliofr,On lit le monde là ?,2025-06-17T11:51:02.376455
sdfljsgrljfslk,@Chiengpt mdr l'iran a toujours dit que c'était leur projet :D,2025-06-17T11:51:04.258681
tutor_hcz,@prof_intern France 2?,2025-06-17T11:51:04.627350
saberan31,"@ptitejaja Politicien d'un régime autoritaire + Thinkerview qui est connu pour être complotiste, y'a donc pas bcp de crédit à apporter à cette info",2025-06-17T11:51:09.816276
le_chouffleur,@huttopie et inversement :3,2025-06-17T11:51:18.875490
john33fr,"on rappelle qu'israel frappe l'iran pour éviter qu'il n'ait accès à la bombe atomique, bombe qu'israel produit en toute illégalité :)",2025-06-17T11:51:19.826206
langstrand,@ptitejaja ça ne change pas ce qui a été dit dans le passé maintes fois,2025-06-17T11:51:25.084714
aoreliofr,Ok merci :),2025-06-17T11:51:33.050594
bapthard,"@prof_intern Me dire que Radio France (donc France Inter) c'est pas a gauche, ce serait un peu bizarre par exemple",2025-06-17T11:51:34.892706
biuemoon___,"@lebylkus92 au contraire ! ils disent que c'est la panique pour israel, les médias sont pour eux donc bon",2025-06-17T11:51:39.850593
ptitejaja,"@Chiengpt Clairement, d'où ma question... MAis sur la question Iranienne, j'exclu pas qu'on soit,en occident, soumis à une certaine forme de propagande, d'où la difficulté de tirer le vrais du faux...",2025-06-17T11:51:42.906833
apsilon999,"tout ça pour rien, c'est frustrant",2025-06-17T11:51:53.308229
fricasseedefevesaubellota,@ptitejaja Thikerview est un média de propagande proRusse. Meme si dans le lot des choses interessantes des fois sont dites.,2025-06-17T11:52:01.594951
prof_intern,"@tutor_hcz extrême centre,  pas centre gauche",2025-06-17T11:52:04.438277
bapthard,@Bapthard Que France Inter (donc Radio France)*,2025-06-17T11:52:06.862030
huttopie,@le_chouffleur ce n'est pas l'Arabie Saoudite qui a bombardé un complèxe pétrolier Iranien,2025-06-17T11:52:10.586482
david_ayoun,Israël fait des frappes ciblées sur des sites nucléaires stratégiques ! Il ne cible pas les civils contrairement à l'Iran !,2025-06-17T11:52:11.609764
chiengpt,@ptitejaja toutafé,2025-06-17T11:52:17.108900
xelfuego,l'impression de revoir le scenario en Irak..,2025-06-17T11:52:19.128713
monsieurdemesmaeker,@fricasseedefevesaubellota exactement,2025-06-17T11:52:21.386795
saberan31,Sidérant que la France se dise prêt à soutenir Israël coûte que coûte alors que c'est le pays agresseur qui en bombarde un autre au mépris des lois internationales,2025-06-17T11:52:21.541160
lebylkus92,@BIueMoon___ Et oui... on nous montre comme quoi l'IRAN est a genoux alors que j'en ai pas l'impression quand on voit les frappes sur Iseral,2025-06-17T11:52:25.730175
theoriginalpimousse_,@david_ayoun Sauf à Gaza...,2025-06-17T11:52:36.132047
tutor_hcz,@prof_intern ça veut rien dire extrême centre... 🤨,2025-06-17T11:52:36.198568
ptitejaja,@saberan31 thinkerview connu pour être complotiste ? Ah bon ? Il y a un consensus quelconque là dessus ?,2025-06-17T11:52:38.290566
biuemoon___,@david_ayoun ah oui??? et tous les civils de gaza tués sont aussi des zones nucléaires?,2025-06-17T11:52:45.201829
